"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"R5","0805R","11.9625mm","57.02mm","11.9625mm","57.02mm","12.915mm","57.02mm","B","180","R",
"R6","0805D","148.3395mm","75.146mm","148.3395mm","75.146mm","147.387mm","75.146mm","B","0","R",
"R7","0805D","260.4805mm","17.996mm","260.4805mm","17.996mm","259.528mm","17.996mm","B","0","R",
"R8","0805D","209.75mm","17.87mm","209.75mm","17.87mm","210.7025mm","17.87mm","B","180","R",
"R9","0805D","263.338mm","75.146mm","263.338mm","75.146mm","264.2905mm","75.146mm","B","180","R",
"SW1","SW_SPST_FSMSM","29.3mm","44.52mm","29.3mm","44.52mm","33.89mm","44.52mm","B","180","SW_PUSH",
"X1","4-SMD","39.3099mm","56.01982mm","39.3099mm","56.01982mm","40.11mm","57.11964mm","B","270","ASX4",
"Through Hole Items ",
"HOLE","PKRH","112.52mm","75.13mm","112.52mm","75.13mm","112.52mm","75.13mm","T","90","VAL**",
"HOLE","PKRH","135.19125mm","16.82mm","135.19125mm","16.82mm","132.9725mm","16.82mm","T","90","VAL**",
"HOLE","PKRH","131.31mm","0.02mm","131.31mm","0.02mm","131.31mm","0.02mm","T","90","VAL**",
"HOLE","PKRH","134.61mm","0.02mm","134.61mm","0.02mm","134.61mm","0.02mm","T","90","VAL**",
"HOLE","PKRH","131.21mm","35.72mm","131.21mm","35.72mm","131.21mm","35.72mm","T","90","VAL**",
"HOLE","PKRH","115.81mm","77.92mm","115.81mm","77.92mm","115.81mm","77.92mm","T","90","VAL**",
"HOLE","PKRH","123.31498mm","74.60125mm","123.31498mm","74.60125mm","123.4475mm","74.72mm","T","90","VAL**",
"HOLE","PKRH","125.31mm","73.82mm","125.31mm","73.82mm","125.31mm","73.82mm","T","90","VAL**",
"HOLE","PKRH","121.61mm","73.02mm","121.61mm","73.02mm","121.61mm","73.82mm","T","90","VAL**",
"HOLE","PKRH","127.43mm","77.02mm","127.43mm","77.02mm","118.685mm","75.87498mm","T","0","VAL**",
"HOLE","PKRH","112.26mm","94.6mm","112.26mm","94.6mm","112.26mm","94.6mm","T","90","VAL**",
"HOLE","PKRH","115.58mm","94.59mm","115.58mm","94.59mm","115.58mm","94.59mm","T","90","VAL**",
"HOLE","PKRH","113.66mm","78.92125mm","113.66mm","78.92125mm","113.9225mm","79.03875mm","T","90","VAL**",
"HOLE","PKRH","113.65248mm","91.91125mm","113.65248mm","91.91125mm","113.9225mm","93.02mm","T","90","VAL**",
"HOLE","PKRH","127.91498mm","53.90125mm","127.91498mm","53.90125mm","128.21mm","54.02mm","T","90","VAL**",
"HOLE","PKRH","138.95mm","38.85mm","138.95mm","38.85mm","138.95mm","38.85mm","T","90","VAL**",
"HOLE","PKRH","127.01mm","36.62mm","127.01mm","36.62mm","127.01mm","36.62mm","T","90","VAL**",
"HOLE","PKRH","129.31mm","58.12mm","129.31mm","58.12mm","129.31mm","58.12mm","T","90","VAL**",
"HOLE","PKRH","122.01mm","56.22mm","122.01mm","56.22mm","122.01mm","56.22mm","T","90","VAL**",
"HOLE","PKRH","134.38mm","75.2mm","134.38mm","75.2mm","134.38mm","75.2mm","T","90","VAL**",
"HOLE","PKRH","131.01mm","77.92mm","131.01mm","77.92mm","131.01mm","77.92mm","T","90","VAL**",
